"Activity" "Subject" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tBodyAcc-std-X" "tBodyAcc-std-Y" "tBodyAcc-std-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tGravityAcc-std-X" "tGravityAcc-std-Y" "tGravityAcc-std-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyAccJerk-std-X" "tBodyAccJerk-std-Y" "tBodyAccJerk-std-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyro-std-X" "tBodyGyro-std-Y" "tBodyGyro-std-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyGyroJerk-std-X" "tBodyGyroJerk-std-Y" "tBodyGyroJerk-std-Z" "tBodyAccMag-mean" "tBodyAccMag-std" "tGravityAccMag-mean" "tGravityAccMag-std" "tBodyAccJerkMag-mean" "tBodyAccJerkMag-std" "tBodyGyroMag-mean" "tBodyGyroMag-std" "tBodyGyroJerkMag-mean" "tBodyGyroJerkMag-std" "fBodyAcc-mean-X" "fBodyAcc-mean-Y" "fBodyAcc-mean-Z" "fBodyAcc-std-X" "fBodyAcc-std-Y" "fBodyAcc-std-Z" "fBodyAccJerk-mean-X" "fBodyAccJerk-mean-Y" "fBodyAccJerk-mean-Z" "fBodyAccJerk-std-X" "fBodyAccJerk-std-Y" "fBodyAccJerk-std-Z" "fBodyGyro-mean-X" "fBodyGyro-mean-Y" "fBodyGyro-mean-Z" "fBodyGyro-std-X" "fBodyGyro-std-Y" "fBodyGyro-std-Z" "fBodyAccMag-mean" "fBodyAccMag-std" "fBodyBodyAccJerkMag-mean" "fBodyBodyAccJerkMag-std" "fBodyBodyGyroMag-mean" "fBodyBodyGyroMag-std" "fBodyBodyGyroJerkMag-mean" "fBodyBodyGyroJerkMag-std"
"LAYING" 1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
"LAYING" 3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.579076453758064 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651026 -0.810032718739003
"LAYING" 5 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.528503022745033 -0.594259529756954 -0.573176177044172 -0.613485123609272 -0.677355755703311 -0.715731148145695 -0.748829309536424 -0.735610602483444
"LAYING" 6 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.473974924380431 -0.570910289993846 -0.494882316238462 -0.516711262173969 -0.579130051151385 -0.657368673849846 -0.651886909221538 -0.660175875210246
"LAYING" 7 0.270792889762443 -0.0195574233928959 -0.113392553362443 -0.552757901926244 -0.512667022979638 -0.458683809903281 0.675716663371041 -0.0350794438316742 0.0614356662943484 -0.954866803710407 -0.954366689524887 -0.921834079638009 0.0821832957319004 0.0079876504408371 -0.00562601940886878 -0.592454062283937 -0.592309214482805 -0.657907176678009 -0.0532064427602489 -0.0624227293186878 0.096032575590543 -0.671874672429864 -0.637234394459276 -0.649718613201357 -0.0933672480946878 -0.0387776456923982 -0.060645614199457 -0.676941269362896 -0.659671420599548 -0.724299013769231 -0.489167037123077 -0.492492696377443 -0.489167037123077 -0.492492696377443 -0.602226928518688 -0.529140638784842 -0.561840436382353 -0.581368651149321 -0.695119248723982 -0.640147008873982 -0.56975909 -0.530473823667873 -0.526545226867783 -0.547071637626923 -0.535006789081448 -0.466379105734412 -0.615946761304072 -0.612907499718869 -0.633274547109638 -0.605039005069231 -0.597813121753846 -0.681259641768778 -0.624356867171946 -0.613208575035747 -0.632711323330317 -0.689837914667421 -0.657438518728507 -0.689728119237557 -0.497645950644796 -0.569955469857014 -0.531751710221357 -0.52983323101448 -0.610501988776787 -0.637319988122172 -0.651849905733801 -0.651444018449095
"LAYING" 8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 -0.66835678475516 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281 -0.673625525658363 -0.715838385516014 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.512106792856939 -0.651638076286121 -0.529244911130605 -0.618027414911032 -0.609984289180071 -0.636673891144128 -0.70215621546726 -0.755717299964413
"LAYING" 11 0.27658531139557 -0.0191272531933228 -0.108941761642405 -0.58947649779557 -0.490379346996835 -0.665324314227848 0.730526184936709 0.0527387028613924 0.140209861246835 -0.975394457689873 -0.957138770727848 -0.956812000411392 0.0830134540658228 0.0078044254343038 -0.00657424975259494 -0.659323083055063 -0.608784226719937 -0.842511816044304 -0.0547328440272468 -0.0582275770813291 0.087284109682356 -0.739922126628797 -0.703501766487342 -0.725016008797468 -0.0805473309873418 -0.0493914065474684 -0.0480140167267405 -0.781738140601266 -0.868377254082279 -0.795490882468354 -0.542825032813608 -0.612882270912658 -0.542825032813608 -0.612882270912658 -0.679819504547468 -0.664241760370253 -0.628367851066456 -0.696771378957911 -0.826829028481013 -0.866905012626582 -0.619524028324684 -0.531455265662532 -0.750026145791139 -0.579491754749367 -0.502570240243354 -0.652095671108544 -0.676672987166456 -0.632374688606013 -0.825559590221519 -0.672195644346519 -0.609444998247785 -0.858259630601266 -0.709949332117089 -0.776852868955696 -0.708842979272152 -0.751758277167721 -0.670892713066772 -0.75596062835443 -0.611528074359177 -0.674470159009494 -0.656133473274684 -0.676925075857595 -0.757585939588608 -0.711267219682278 -0.864827011392405 -0.879254016740506
"LAYING" 14 0.270184596009288 -0.0162548178510526 -0.100985935692074 -0.611671118216099 -0.374730765205077 -0.29354271467452 0.672081224882353 -0.111701388781115 -0.161179728291022 -0.941245714736842 -0.942377305312693 -0.915927846160991 0.0741757467665015 0.00443682723817957 -0.00253044692473994 -0.641964198633003 -0.586459622773684 -0.656855586102105 0.000253671358297214 -0.0954921154823529 0.0606712446996904 -0.728661379340557 -0.398959362766099 -0.364478192502167 -0.107556127062003 -0.0433200489340217 -0.0450693836894427 -0.7862917325387 -0.6979155314613 -0.638299064788854 -0.453262620331889 -0.474058613408978 -0.453262620331889 -0.474058613408978 -0.608973420309907 -0.605144269857245 -0.416459776709257 -0.471486714606811 -0.700520939854799 -0.727023009383901 -0.619513271851703 -0.455237617000929 -0.440650672343653 -0.609406374110062 -0.376829989404644 -0.275013722171486 -0.654385009392879 -0.598699531399381 -0.618712162187307 -0.661460356953251 -0.60215894382322 -0.694424996467802 -0.699166400749226 -0.50463317018839 -0.42391821438452 -0.740052209854489 -0.348864187370186 -0.407672097170898 -0.490874179820433 -0.548269930770588 -0.596896308848452 -0.619215144539319 -0.543030528985449 -0.516930495917399 -0.717590101802972 -0.760560087962848
"LAYING" 15 0.27821340725 -0.016464484771311 -0.112563587594512 -0.556541173089329 -0.481679537956006 -0.705706623868902 0.688872511512195 0.102660491875 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.947240058048781 0.0776897411304878 0.00489392052706402 -0.00440993190077744 -0.624055782158537 -0.594312678045091 -0.825820881576219 -0.0281278780610671 -0.075878845519878 0.0906658516 -0.696859473045732 -0.708779069191463 -0.721826987530488 -0.0960910108539634 -0.0441270690182012 -0.0555645456881098 -0.731382711036585 -0.853956592073171 -0.795626198384146 -0.527285352000488 -0.557147874176037 -0.527285352000488 -0.557147874176037 -0.654799694757531 -0.625660376546646 -0.617721779796037 -0.675336960047866 -0.805282669512195 -0.837120078079268 -0.583772317445122 -0.507735205778384 -0.741745724698171 -0.547150855443902 -0.501568435233384 -0.711431340356707 -0.643469519361585 -0.609408057377744 -0.805543465588415 -0.637655155092835 -0.605854882622652 -0.845111060762195 -0.664354428856402 -0.760711411006098 -0.711194539920732 -0.709336168176829 -0.684504735744512 -0.751696527195122 -0.562948391223628 -0.623655618198171 -0.614817605125915 -0.643101167069512 -0.732394493841463 -0.695346839682927 -0.83680189402439 -0.849634463841463
"LAYING" 16 0.277887440374317 -0.0158567888309016 -0.107263924445355 -0.668161498298634 -0.649947067892896 -0.603819902386066 0.700906130308743 -0.0605235993797814 0.0402075536234973 -0.971156432131148 -0.964727519945355 -0.945294028639344 0.0775488885374317 0.00884018328270219 -0.00143730005564208 -0.72786174352459 -0.735080198043716 -0.767873049380055 -0.0122341446725137 -0.0724444803980874 0.0730144651530055 -0.799534450491803 -0.810124133715847 -0.737629967961749 -0.107361614801257 -0.0416615668939617 -0.0539470410873497 -0.858298719153005 -0.86957312057377 -0.837039926065574 -0.616131116889044 -0.661719690491803 -0.616131116889044 -0.661719690491803 -0.725246870486339 -0.719647028238525 -0.718168775628415 -0.78482286579235 -0.860446372459016 -0.87480016568306 -0.700885147341803 -0.671572147098798 -0.660989948160437 -0.656969045058415 -0.661844530506831 -0.605646725307104 -0.744662041612022 -0.748627001551913 -0.752302172079235 -0.73477673661306 -0.738434398105465 -0.782089515344262 -0.789780147036612 -0.815962130027322 -0.756286641721311 -0.804991831502732 -0.809421448142077 -0.756993640724044 -0.666962508246721 -0.712680990765301 -0.713167613706148 -0.729869398769672 -0.81712881920765 -0.802078223409836 -0.87277228273224 -0.886533212213115
